"id","filepath","url","type","brand","description","price","image_url","is_deleted"
"76","Fusion Carbon Cycling Helmet","/products/fusion-carbon-cycling-helmet","Cycling","B&R","Protect yourself on two wheels with the Fusion Carbon Cycling Helmet by B&R. This helmet is made from lightweight carbon fiber and features an aerodynamic design for maximum speed. The colorful finish with a bold blue stripe will make you stand out on the road.","159","76_generated_image.png","FALSE"
"77","Survivor 2-Person Tent","/products/survivor-2-person-tent","Trekking","XE","Gear up for your next adventure with the Survivor 2-Person Tent by XE. This rugged tent is made from durable ripstop nylon and features a waterproof coating to keep you dry in any weather. The vibrant orange color ensures high visibility in the wild.","249.99","77_generated_image.png","FALSE"
"78","Basecamp Duffle Bag","/products/basecamp-duffle-bag","Bags","Solstix","The Basecamp Duffle Bag by Solstix is the ultimate adventure companion. This spacious bag is made from durable nylon and features multiple compartments for optimal organization. Its sleek red design with gray accents exudes both style and functionality.","129","78_generated_image.png","FALSE"
"79","Everest Insulated Jacket","/products/everest-insulated-jacket","Jackets","Legend","Conquer the cold with the Everest Insulated Jacket by Legend. This jacket combines warmth and style with its insulated design and sleek grey color. The water-resistant shell will keep you dry during unexpected showers while the cozy fleece lining adds extra comfort.","179.99","79_generated_image.png","FALSE"
"80","Pathfinder GPS Watch","/products/pathfinder-gps-watch","Navigation","XE","Navigate with confidence using the Pathfinder GPS Watch by XE. This feature-packed watch includes GPS tracking,altimeter,barometer,and compass functions to guide you on your outdoor adventures. The sleek pink design with a vibrant green dial adds a sporty touch to your wrist.","199","80_generated_image.png","FALSE"
"81","Trail Breeze Hiking Shoes","/products/trail-breeze-hiking-shoes","Footwear","AirStrider","Experience the ultimate comfort and stability with the Trail Breeze hiking shoes by AirStrider. These lightweight shoes feature a breathable mesh upper in vivid blue,providing excellent airflow on hot summer hikes. The durable rubber outsole offers exceptional grip,ensuring you stay steady on any terrain.","109.99","81_generated_image.png","FALSE"
"82","Maverick Pro Ski Goggles","/products/maverick-pro-ski-goggles","Ski/boarding","WildRunner","Conquer the slopes in style with the Maverick Pro ski goggles by WildRunner. Designed for maximum performance,these goggles feature a sleek black frame and mirrored,polarized lenses that reduce glare,enhancing your visibility. With a comfortable foam lining and adjustable strap,these goggles provide a secure and snug fit.","139.99","82_generated_image.png","FALSE"
"83","Blizzard Freestyle Snowboard","/products/blizzard-freestyle-snowboard","Ski/boarding","Zephyr","Unleash your freestyle skills on the slopes with the Blizzard snowboard from Zephyr. Featuring a vibrant orange and black design,this snowboard is perfect for riders who crave speed and control. Constructed with a durable bamboo core and carbon fiber reinforcement,the Blizzard offers an optimal blend of flexibility and responsiveness.","379","83_generated_image.png","FALSE"
"84","Gravity Harness","/products/gravity-harness","Climbing","Gravitator","Reach new heights with the Gravitator Gravity harness. With its innovative design and sturdy construction,this harness ensures your safety while climbing. The sleek black and red color scheme adds a touch of style. It offers maximum comfort and freedom of movement,giving you the confidence to conquer any climbing challenge.","89.99","84_generated_image.png","FALSE"
"85","LumenHead Headlamp","/products/lumenhead-headlamp","Trekking","Daybird","Illuminate your outdoor adventures with the Daybird LumenHead headlamp. This compact yet powerful headlamp features a bright LED light in a vibrant green housing. With multiple lighting modes,including a red light for preserving night vision,the LumenHead provides exceptional visibility in any conditions.","49.99","85_generated_image.png","FALSE"
"86","ProVent Bike Helmet","/products/provent-bike-helmet","Cycling","Raptor Elite","Stay safe and stylish on your cycling adventures with the Raptor Elite ProVent bike helmet. This sleek helmet features a matte black finish with striking red accents. The ProVent technology ensures optimal airflow,keeping you cool and comfortable. With its adjustable fit system and removable visor,this helmet is perfect for both casual and professional riders.","79.99","86_generated_image.png","FALSE"
"87","Nomad 2-Person Tent","/products/nomad-2-person-tent","Trekking","XE","Embark on your next camping expedition with the XE Nomad 2-person tent. Designed for rugged outdoor conditions,this tent features a durable waterproof fabric in earthy tones. The spacious interior and easy-to-use setup make it ideal for comfortable camping. With its innovative ventilation system,you'll stay cool and dry throughout the night.","229","87_generated_image.png","FALSE"
"88","Alpine AlpinePack Backpack","/products/alpine-alpinepack-backpack","Bags","Green Equipment","The AlpinePack backpack by Green Equipment is your ultimate companion for outdoor adventures. This versatile and durable backpack features a sleek navy design with reinforced straps. With a capacity of 45 liters,multiple compartments,and a hydration pack sleeve,it offers ample storage and organization. The ergonomic back panel ensures maximum comfort,even on the most challenging treks.","129","88_generated_image.png","FALSE"
"89","Summit Pro Down Jacket","/products/summit-pro-down-jacket","Jackets","Legend","Defy the coldest temperatures with the Legend Summit Pro down jacket. This high-performance jacket is filled with premium down insulation for exceptional warmth. The sleek design in deep navy blue is complemented by contrasting silver zippers and emblems. Equipped with weather-resistant fabric and a removable hood,this jacket is your ultimate companion for extreme winter adventures.","239.99","89_generated_image.png","FALSE"
"90","TrailTracker GPS Watch","/products/trailtracker-gps-watch","Navigation","B&R","Navigate the trails like a pro with the B&R TrailTracker GPS watch. This rugged and reliable watch features a built-in GPS that tracks your location,speed,and distance accurately. The sleek camo design with a vivid orange strap adds a sporty touch. With its long battery life and water-resistant construction,you can trust this watch to guide you through any outdoor expedition.","199","90_generated_image.png","FALSE"
"91","Trailblazer Trail Running Shoes","/products/trailblazer-trail-running-shoes","Footwear","WildRunner","Conquer any terrain in the Trailblazer Trail Running Shoes by WildRunner. These lightweight shoes come in vibrant blue and feature a rugged outsole for excellent traction,a breathable mesh upper for maximum comfort,and quick-drying materials to keep you dry on your adventures.","89.99","91_generated_image.png","FALSE"
"92","Shaun White Powder Groomer","/products/shaun-white-powder-groomer","Ski/boarding","WhiteSpace","Shred the slopes with the Shaun White Powder Groomer. This powerful board features a sleek design in black and icy white,with a Dura-LT carbon fiberglass core,tapered shape,directional camber,and a precision base that allows for smooth rides and easy turns. Strap on and carve your way to glory.","449.99","92_generated_image.png","FALSE"
"93","Summit Climbing Harness","/products/summit-climbing-harness","Climbing","Raptor Elite","Conquer the highest peaks with the Raptor Elite Summit Climbing Harness. This durable and lightweight harness,available in bold red,provides maximum comfort and safety while scaling tricky routes. Its adjustable waistband and leg loops ensure a snug fit,while the gear loops provide easy access to your equipment.","109.99","93_generated_image.png","FALSE"
"94","Gravity Hiking Backpack","/products/gravity-hiking-backpack","Bags","Gravitator","Embark on unforgettable hikes with the Gravitator Gravity Hiking Backpack. Available in tiger stripes,this backpack offers a spacious main compartment,multiple pockets,and a hydration system compatible design. The lightweight and durable construction ensures maximum comfort on the trails.","79.99","94_generated_image.png","FALSE"
"95","AeroLite Cycling Helmet","/products/aerolite-cycling-helmet","Cycling","AirStrider","Stay safe and stylish on your cycling adventures with the AirStrider AeroLite Cycling Helmet. This helmet,in a glossy grey,features a lightweight design,adjustable straps,and excellent ventilation to keep you cool. The aerodynamic shape reduces air resistance,enabling you to pick up speed with confidence.","129.99","95_generated_image.png","FALSE"
"96","Explorer Camping Tent","/products/explorer-camping-tent","Trekking","B&R","Experience the great outdoors with the B&R Explorer Camping Tent. This spacious tent,available in forest green,comfortably fits up to six people with a separate sleeping area and a generous living space. Its sturdy construction and weather-resistant materials ensure durability and protection from the elements.","279.99","96_generated_image.png","FALSE"
"97","Gravity Waterproof Dry Bag","/products/gravity-waterproof-dry-bag","Bags","Quester","Keep your essentials dry and secure with the Quester Gravity Waterproof Dry Bag. This versatile bag,in vibrant orange,features a roll-top closure system,adjustable shoulder straps,and durable PVC-coated fabric to withstand water,sand,and dirt. Ideal for adventures on land or water.","49.99","97_generated_image.png","FALSE"
"98","Element Outdoor Jacket","/products/element-outdoor-jacket","Jackets","Legend","Gear up for any adventure with the Legend Element Outdoor Jacket. Available in charcoal gray,this jacket offers ultimate protection with its waterproof and windproof shell. The breathable fabric and adjustable cuffs ensure comfort,allowing you to explore in any weather condition.","179.99","98_generated_image.png","FALSE"
"99","Adventurer GPS Watch","/products/adventurer-gps-watch","Navigation","Solstix","Take navigation to the next level with the Solstix Adventurer GPS Watch. This sleek and durable watch,in midnight blue,features a built-in GPS,altimeter,and compass,allowing you to track your routes and monitor your progress. With multiple sport modes,it's the ideal companion for outdoor enthusiasts.","199.99","99_generated_image.png","FALSE"
"100","EcoLite Trekking Poles","/products/ecolite-trekking-poles","Trekking","Green Equipment","Tackle challenging trails with the Green Equipment EcoLite Trekking Poles. These lightweight poles,in vibrant green,feature adjustable height,shock-absorbing capabilities,and ergonomic cork handles for a comfortable grip. Whether ascending or descending,these poles provide stability and support.","79.99","100_generated_image.png","FALSE"
"101","Trek Xtreme Hiking Shoes","/products/trek-xtreme-hiking-shoes","Footwear","Raptor Elite","The Trek Xtreme hiking shoes by Raptor Elite are built to endure any trail. With their durable leather upper and rugged rubber sole,they offer excellent traction and protection. These shoes come in a timeless brown color that adds a touch of style to your outdoor adventures.","135.99","101_generated_image.png","FALSE"
